First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/bonus-casino,2836,-0.22386425834701698,4971,-0.17630488815244408,4473,-0.18331203213438013
google / organic,/top-cazino-online,615,0.06770833333333333,1957,0.10564971751412429,1056,0.056
google / organic,/casino-online,1043,0.17191011235955056,1938,-0.08195168166745619,1363,0.13205980066445183
google / organic,/bonus-fara-rulaj,935,-0.028066528066528068,1620,-0.1229020032485111,1387,-0.034122562674094706
google / organic,/bonus-fara-depunere-online,985,-0.07685098406747891,1464,-0.223342175066313,1584,-0.10508474576271186
google / organic,/rotiri-fara-depunere-online,611,0.00825082508250825,1274,-0.2644341801385681,1121,-0.005323868677905945
google / organic,(not set),1044,0.07407407407407407,1155,-0.20234806629834254,1646,-0.05238917674150835
google / organic,/rotiri-fara-depunere-pmax,615,0.04770017035775128,953,-0.28345864661654135,950,0.07832009080590238
google / organic,/,589,-0.18194444444444444,690,-0.4457831325301205,874,-0.2459016393442623
bing / organic,/bonus-casino,157,0.37719298245614036,370,0.8226600985221675,327,0.635
google / organic,/t/bonus-fara-depunere,328,2.313131313131313,246,5.473684210526316,413,2.7545454545454544
google / organic,/rotiri-fara-depunere-ex,115,-0.14814814814814814,218,-0.2899022801302932,147,-0.46153846153846156
google / organic,/blog/bilion-casino-bonus-fara-depunere,249,-0.0311284046692607,217,-0.026905829596412557,280,-0.02097902097902098
google / organic,/blog/zinx-casino-bonus-fara-depunere,773,1.8315018315018314,207,4.75,896,1.937704918032787
google / organic,/blog/promotii-superbet-fara-depunere,386,-0.18046709129511676,196,-0.24904214559386972,426,-0.18857142857142858
bing / organic,/casino-online,78,0.09859154929577464,193,-0.08530805687203792,127,0.3368421052631579
google / organic,/vipbet-casino,373,4.651515151515151,191,5.366666666666666,408,5
google / organic,/zinx-casino,291,1.2045454545454546,188,1.647887323943662,337,1.3732394366197183
google / organic,/cazinouri-noi-licentiate,211,-0.11715481171548117,184,-0.352112676056338,253,-0.209375
google / organic,/cazinouri-noi-cu-depunere,220,-0.004524886877828055,156,-0.30666666666666664,281,-0.05067567567567568
google / organic,/toate-bonusurile-fara-depunere,120,-0.25925925925925924,149,-0.4620938628158845,155,-0.3404255319148936
google / organic,/promotii-paste-casino,391,-0.432510885341074,131,-0.23837209302325582,452,-0.4846066134549601
google / organic,/top-bonus-bun-venit,190,,99,,224,
duckduckgo / organic,/bonus-casino,63,0.575,96,0.47692307692307695,111,0.819672131147541
google / organic,/blog/manhattan-casino-bonus-fara-depunere,107,-0.6192170818505338,85,2.269230769230769,125,-0.5928338762214984
duckduckgo / organic,(not set),53,0.4722222222222222,83,0.43103448275862066,72,0.46938775510204084
google / organic,/blog/winner-bonus-fara-depunere,141,-0.4854014598540146,82,-0.4142857142857143,144,-0.5339805825242718
google / organic,/blog/888-bonus-fara-depunere,162,-0.07954545454545454,77,0.06944444444444445,175,-0.06914893617021277
google / organic,/publicwin,58,-0.07936507936507936,68,1,61,-0.031746031746031744
google / organic,/777-casino,69,-0.15853658536585366,64,-0.1232876712328767,78,-0.04878048780487805
google / organic,/cazinouri-rulaj-mic-2026,95,0.7924528301886793,63,0.5365853658536586,119,0.803030303030303
google / organic,/freebet-fara-depunere,59,-0.1323529411764706,60,0.4634146341463415,83,-0.056818181818181816
google / organic,/blog/depunere-minima-10-lei,103,-0.13445378151260504,58,0.5263157894736842,110,-0.16030534351145037
bing / organic,(not set),58,0.4146341463414634,54,-0.20588235294117646,70,0.25
duckduckgo / organic,/casino-online,38,0.15151515151515152,52,-0.10344827586206896,66,0.43478260869565216
google / organic,/bonusuri-de-top,29,0.5263157894736842,50,0.5151515151515151,30,0.5
google / organic,/blog/betano-bonus-fara-depunere,86,-0.17307692307692307,49,-0.24615384615384617,94,-0.21666666666666667
google / organic,/top-oferte-cazinouri-romania-2026,60,0.36363636363636365,48,1.5263157894736843,69,0.3269230769230769
google / organic,/blog/bet7-bonus-fara-depunere,86,0.2647058823529412,43,0.2647058823529412,94,0.323943661971831
google / organic,/cod-bonus-casino,76,0.7674418604651163,41,0.28125,90,0.6363636363636364
google / organic,/don-casino,51,0.275,39,1.2941176470588236,54,0.3170731707317073
google / organic,/victory-bet,16,2.2,36,5,27,4.4
google / organic,/blog/maxbet-bonus-fara-depunere,37,-0.4126984126984127,34,-0.30612244897959184,38,-0.4647887323943662
google / organic,/blog/napoleon-games-bonus-fara-depunere,48,-0.09433962264150944,34,-0.34615384615384615,50,-0.13793103448275862
google / organic,/vlad-cazino,58,1.0714285714285714,34,0.7,61,1.1785714285714286
google / organic,/blog/bonusbet-casino-bonus-fara-depunere,101,0.9423076923076923,33,1.5384615384615385,104,0.8909090909090909
google / organic,/blog/top-aplicatii-casino,63,0.9090909090909091,33,0.7368421052631579,71,1.0285714285714285
qwant.com / organic,/bonus-casino,15,0.36363636363636365,33,-0.65625,25,-0.5370370370370371
google / organic,/blog/elite-slots-bonus-fara-depunere,102,0.04081632653061224,32,0.5238095238095238,110,0.0784313725490196
google / organic,/blog/oferta-bonus-fara-depunere-netbet,59,-0.572463768115942,32,-0.6666666666666666,73,-0.5408805031446541
google / organic,/t/300-rotiri-gratuite,52,6.428571428571429,32,4.333333333333333,56,6
google / organic,/blog/ultrabet-bonus-fara-depunere,74,0.4230769230769231,31,0.8235294117647058,78,0.4716981132075472
google / organic,/bonusbet-casino,26,-0.36585365853658536,31,0.03333333333333333,26,-0.43478260869565216
google / organic,/m-top-bonus-bun-venit,1,,28,,4,
google / organic,/million-casino,95,0.46153846153846156,26,0.4444444444444444,98,0.5076923076923077
google / organic,/blog/cazinouri-cu-retragere-rapida,48,0.11627906976744186,24,0.6,58,0.09433962264150944
google / organic,/manhattan-casino,61,-0.41346153846153844,24,-0.5932203389830508,63,-0.43243243243243246
google / organic,/blog/cazinouri-straine,89,0.2714285714285714,22,0.2222222222222222,101,0.18823529411764706
google / organic,/blog/betmen-bonus-fara-depunere,37,0.08823529411764706,21,-0.19230769230769232,43,0.023809523809523808
google / organic,/blog/lady-casino-bonus-fara-depunere,50,-0.12280701754385964,20,-0.6363636363636364,52,-0.2
