First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/blog/cazinouri-paypal,94,,74,,101,
google / organic,/blog/cod-promotional-cashpot,299,,71,,365,
google / organic,/t/300-rotiri-gratuite,123,,71,,137,
google / organic,/g-oferte-fara-depunere-premium,103,,70,,131,
google / organic,/swiper-casino,125,,70,,141,
google / organic,/t/50-rotiri-gratuite,172,,70,,188,
google / organic,/vara-tentatiei-google,99,,70,,155,
bing / organic,/,76,,66,,112,
bing / organic,/blog/888-bonus-fara-depunere,73,,65,,94,
google / organic,/toto-gaming,150,,64,,164,
google / organic,/ultrabet,125,,64,,139,
yahoo / organic,/bonus-casino,26,,63,,30,
google / organic,/blog/pacanelero-bonus-fara-depunere,117,,62,,135,
google / organic,/jocuri/pacanele-gratis,217,,62,,320,
google / organic,/king-casino,92,,62,,124,
google / organic,/blog/card-revolut-casino,102,,61,,117,
google / organic,/victory-bet,56,,61,,74,
google / organic,/blog/cod-bonus-stanleybet,234,,60,,253,
google / organic,/blog/fortuna-palace-bonus-fara-depunere,232,,60,,254,
bing / organic,/bonusuri-de-top,14,,58,,16,
google / organic,/blog/cazinouri-straine,230,,58,,296,
google / organic,/vara-tentatiei-push,62,,58,,128,
yahoo / organic,(not set),22,,58,,33,
google / organic,/lady-casino,164,,57,,180,
google / organic,/blog/lucky-seven-bonus-fara-depunere,64,,56,,68,
google / organic,/t/100-rotiri-gratuite,99,,55,,112,
google / organic,/blog/maxwin-bonus-fara-depunere,143,,53,,159,
google / organic,/frank-casino,107,,53,,112,
yahoo / organic,/casino-online,17,,53,,21,
bing / organic,/blog/maxbet-bonus-fara-depunere,68,,51,,81,
duckduckgo / organic,/bonus-fara-rulaj,34,,51,,52,
google / organic,/blog/cod-bonus-vlad-cazino,182,,51,,193,
google / organic,/vara-tentatiei-email,51,,51,,85,
google / organic,/bet7-casino,100,,50,,107,
google / organic,/blog/cont-king-casino,214,,50,,241,
google / organic,/bonus-de-ziua-ta,89,,47,,99,
google / organic,/oferte-cu-depunere-premium-g,102,,47,,141,
google / organic,/blog/fortuna-bonus-fara-depunere,68,,46,,76,
google / organic,/blog/player-casino-bonus-fara-depunere,80,,46,,90,
google / organic,/blog/bonus-fara-depunere-magic-jackpot,98,,45,,117,
google / organic,/win2-casino,131,,44,,144,
bing / organic,/blog/12xbet-bonus-fara-depunere,50,,43,,66,
duckduckgo / organic,/blog/maxbet-bonus-fara-depunere,50,,43,,58,
google / organic,/luck-casino,22,,43,,26,
bing / organic,/bonus-fara-depunere-online,17,,42,,28,
google / organic,/betfair-casino,63,,42,,74,
google / organic,/viva-bet,75,,42,,86,
google / organic,/blog/verificare-bilet-betmen,619,,41,,727,
duckduckgo / organic,/blog/winner-bonus-fara-depunere,38,,40,,54,
google / organic,/blog/mr-bit-app,31,,40,,36,
google / organic,/blog/roata-norocului-casino,33,,40,,44,
google / organic,/cashpot-casino,47,,40,,60,
google / organic,/t/200-rotiri-gratuite,72,,40,,78,
qwant.com / organic,/cazinouri-online-rotiri-gratuite,20,,40,,32,
google / organic,/blog/bonus-fara-depunere-casa-pariurilor,33,,39,,39,
bing / organic,/new-subscribers-email,57,,36,,88,
google / organic,/blog/mr-bit-bonus-fara-depunere,96,,36,,112,
google / organic,/las-vegas,35,,35,,37,
bing / organic,/blog/bonus-fara-depunere-las-vegas-casino,30,,34,,40,
bing / organic,/blog/promotii-superbet-fara-depunere,43,,34,,45,
google / organic,/blog/ghid-verificare-identitate-casino,264,,34,,297,
google / organic,/blog/toto-gaming-bonus-fara-depunere,64,,34,,72,
google / organic,/prima-casino,60,,34,,76,
google / organic,/blog,35,,33,,482,
google / organic,/spin-casino,60,,33,,62,
qwant.com / organic,(not set),19,,33,,27,
google / organic,/blog/abon,71,,32,,81,
google / organic,/blog/bonusbet-casino-bonus-de-bun-venit,148,,32,,154,
google / organic,/blog/joker-casino-bonus-fara-depunere,69,,32,,79,
bing / organic,/bonus-casino-sm,6,,31,,9,
google / organic,/seven-casino,63,,31,,76,
google / organic,/winbet-casino,96,,31,,119,
google / organic,/blog/luck-casino-bonus-fara-depunere,49,,30,,59,
google / organic,/napoleon-games,103,,30,,117,
duckduckgo / organic,/,22,,28,,47,
google / organic,/blog/depunere-prima-casino-retragere,8,,28,,14,
google / organic,/blog/promotii-unibet-fara-depunere,104,,28,,110,
google / organic,/casa-pariurilor,24,,28,,35,
google / organic,/m-top-bonus-bun-venit,1,,28,,4,
bing / organic,/blog/oferta-bonus-fara-depunere-netbet,26,,27,,33,
google / organic,/blog/magnumbet-bonus-fara-depunere,56,,27,,59,
google / organic,/oferte-craciun-push,36,,27,,64,
google / organic,/royal-slots,54,,27,,62,
google / organic,/888-casino,54,,26,,70,
google / organic,/betmen-casino,100,,26,,107,
google / organic,/blog/cazinouri-paysafecard,78,,26,,87,
google / organic,/blog/cod-bonus-seven-casino,125,,26,,138,
google / organic,/blog/cod-promo-frank-casino,58,,26,,60,
google / organic,/blog/totalbet-bonus-fara-depunere,125,,26,,139,
google / organic,/blog/pariuriplus-bonus-fara-depunere,56,,25,,62,
google / organic,/blog/seven-casino-bonus-fara-depunere,44,,25,,51,
google / organic,/termeni-si-conditii-casino-online,17,,25,,20,
google / organic,/winmasters-casino,26,,25,,36,
bing / organic,/blog/admiralbet-bonus-fara-depunere,22,,24,,26,
bing / organic,/gads-lp-bonus-cu-depunere-2025,6,,24,,12,
google / organic,/bilion-casino,65,,24,,68,
google / organic,/blog/cum-deschizi-o-sala-de-jocuri-de-noroc,803,,24,,951,
google / organic,/blog/winner-bonus-pariuri,49,,24,,51,
duckduckgo / organic,/victory-bet,5,,23,,6,
google / organic,/blog/pokerstars-bonus-fara-depunere,145,,23,,169,
google / organic,/blog/prima-casino-bonus-fara-depunere,82,,23,,90,
google / organic,/blog/red-sevens-bonus-fara-depunere,72,,23,,80,
google / organic,/blog/vlad-cazino-bonus-fara-depunere,48,,23,,49,
google / organic,/blog/winmasters-bonus-inregistrare,34,,23,,40,
google / organic,/blog/fortuna-poker,38,,22,,45,
google / organic,/blog/verificare-bilet-powerbet,195,,22,,212,
google / organic,/maxbet-casino,30,,22,,51,
google / organic,/mr-bit-casino,48,,22,,63,
google / organic,/redsevens-casino,58,,22,,63,
bing / organic,/blog/elite-slots-bonus-fara-depunere,16,,21,,18,
bing / organic,/top-cazino-online,14,,21,,36,
google / organic,/blog/betano-contact,232,,21,,261,
google / organic,/blog/cod-bonus-admiralbet,106,,21,,112,
google / organic,/blog/las-vegas-cod-promo,76,,21,,80,
google / organic,/blog/luck-mobil,44,,21,,52,
google / organic,/blog/one-casino-bonus-fara-depunere,62,,21,,63,
google / organic,/conti-cazino,45,,21,,55,
bing / organic,/blog/32rosu-casino-bonus-fara-depunere,20,,20,,25,
bing / organic,/victory-bet,46,,20,,56,
duckduckgo / organic,/poker-online,26,,20,,36,
google / organic,/blog/agentii-betmen,265,,20,,298,
google / organic,/blog/mozzartbet-bonus-fara-depunere,40,,20,,53,
google / organic,/blog/netbet-200-rotiri,25,,20,,32,
google / organic,/blog/princess-casino-bonus-fara-depunere,55,,20,,58,
google / organic,/prowin-casino,51,,20,,62,
google / organic,/top-cazinouri-2025-eml,27,,20,,32,
google / organic,/winner-casino,36,,20,,47,
bing / organic,/rotiri-fara-depunere-online,18,,19,,25,
google / organic,/blog/cod-bonus-conti-casino,58,,19,,77,
google / organic,/blog/cod-promotional-million-casino,119,,19,,130,
google / organic,/blog/manhattan-casino-bonus-de-bun-venit,79,,19,,91,
google / organic,/blog/reguli-activity,1454,,19,,1861,
google / organic,/pariuriplus-casino,17,,19,,17,
google / organic,/winboss-casino,48,,19,,58,
duckduckgo / organic,/blog/oferta-bonus-fara-depunere-netbet,7,,18,,26,
google / organic,/blog/cod-bonus-win2-casino,61,,18,,63,
google / organic,/elite-slots-casino,39,,18,,44,
google / organic,/oferte-limitate,34,,18,,52,
google / organic,/poker-online,104,,18,,118,
google / organic,/vara-tentatiei-meta,3,,18,,8,
google / organic,/blog/cont-bonusbet-casino,51,,17,,52,
google / organic,/blog/million-casino-contact,369,,17,,427,
google / organic,/blog/reguli-kings,2445,,17,,4517,
google / organic,/goaffcas/sc-fs-ex-admiralbet,3,,17,,4,
yahoo / organic,/cazinouri-online-rotiri-gratuite,10,,17,,13,
duckduckgo / organic,/new-subscribers-email,7,,16,,27,
google / organic,/blog/bonus-bun-venit-netbet-casino-exclusiv,31,,16,,48,
google / organic,/blog/reguli-kems,2245,,16,,2823,
google / organic,/blog/spin-casino-bonus-fara-depunere,35,,16,,38,
google / organic,/blog/superbet-club,104,,16,,116,
google / organic,/depuneri-cazinouri-online-care-platesc,33,,16,,40,
google / organic,/kino-grecia,131,,16,,154,
google / organic,/magnumbet,31,,16,,34,
google / organic,/promotii-black-friday-casino,47,,16,,58,
bing / organic,/32rosu-casino,1,,15,,1,
bing / organic,/poker-online,69,,15,,72,
duckduckgo / organic,/blog/elite-slots-bonus-fara-depunere,15,,15,,22,
google / organic,/32rosu-casino,34,,15,,43,
google / organic,/blog/cod-promotional-mr-bit,66,,15,,71,
google / organic,/blog/okto-cash,31,,15,,33,
google / organic,/blog/prima-casino-contact,150,,15,,170,
google / organic,/blog/sloturi-cu-rtp-mare,397,,15,,515,
google / organic,/mr-play,51,,15,,52,
yahoo / organic,/bonus-fara-rulaj,7,,15,,7,
bing / organic,/freebet-fara-depunere,11,,14,,12,
bing / organic,/gads-lp-rotiri-gratuite-fara-depunere-pmax,7,,14,,12,
google / organic,/blog/32rosu-casino-bonus-fara-depunere,15,,14,,19,
google / organic,/blog/betmen-contact,238,,14,,303,
google / organic,/blog/vivabet-bonus-bun-venit,11,,14,,16,
bing / organic,/blog/fortuna-bonus-fara-depunere,12,,13,,18,
bing / organic,/rotiri-fara-depunere-ex,6,,13,,9,
