First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/jocuri/pacanele-clasice,9350,-0.053739500050602164,1684,-0.059743160245672805,14719,-0.06038940312799234
google / organic,/rotiri-gratuite,217,-0.20512820512820512,301,-0.3540772532188841,271,-0.2942708333333333
google / organic,/jocuri-pacanele,1025,-0.30224642614023145,195,-0.3157894736842105,1559,-0.3162280701754386
google / organic,(not set),1049,-0.11774600504625736,184,-0.16363636363636364,4364,-0.13326713008937438
google / organic,/bonus-de-casino,109,-0.7029972752043597,118,-0.7739463601532567,137,-0.7091295116772823
google / organic,/,450,-0.1444866920152091,102,-0.3013698630136986,581,-0.16040462427745664
google / organic,/jocuri-cu-pacanele/shinning-crown-pacanele-online,1327,-0.04806312769010043,95,0.09195402298850575,1975,-0.07839477368175456
bing / organic,/jocuri/pacanele-clasice,857,0.1411451398135819,82,0.36666666666666664,1050,0.13882863340563992
google / organic,/producatori-jocuri/egt-gratis,612,0.09874326750448834,78,0.2,953,0.08172531214528944
google / organic,/bonus-de-bun-venit-vipbet-casino,367,1.005464480874317,68,3.25,405,1.109375
google / organic,/jocuri-cu-pacanele/pacanele-ca-la-aparate-crazy-monkey,60,-0.11764705882352941,57,1.1923076923076923,148,-0.013333333333333334
google / organic,/jocuri-cu-pacanele/pacanele-7777-40-super-hot,372,-0.211864406779661,44,-0.3333333333333333,512,-0.2611832611832612
google / organic,/bonusuri-fara-depunere-pm,35,-0.20454545454545456,40,-0.5121951219512195,49,-0.057692307692307696
google / organic,/jocuri-cu-pacanele/pacanele-book-of-ra-deluxe,340,-0.025787965616045846,38,-0.4722222222222222,549,-0.1435257410296412
google / organic,/jocuri-cu-pacanele/pacanele-online-sizzling-hot-deluxe,388,0,35,-0.46153846153846156,817,-0.06628571428571428
google / organic,/jocuri/pacanele-clopotei,144,-0.02702702702702703,29,-0.275,297,-0.10810810810810811
google / organic,/top-cazinouri-online-2026,21,-0.19230769230769232,27,-0.03571428571428571,24,-0.2
google / organic,/jocuri-cu-pacanele/pacanele-cu-77777-fruit-cocktail,110,-0.10569105691056911,26,-0.5094339622641509,298,-0.16991643454038996
google / organic,/bonus-fara-depunere-zinx-casino,70,-0.453125,18,-0.4857142857142857,70,-0.47761194029850745
google / organic,/jocuri-cu-pacanele/joc-pacanele-dice-roll,293,-0.12275449101796407,18,-0.14285714285714285,408,-0.057736720554272515
google / organic,/top-casino-online-romania,16,-0.058823529411764705,18,0.5,17,-0.05555555555555555
google / organic,/jocuri-cu-pacanele/burning-hot-pacanele-cu-fructe,385,0.09686609686609686,15,-0.16666666666666666,606,0.008319467554076539
bing / organic,/jocuri-pacanele,101,0.24691358024691357,12,2,120,0.17647058823529413
google / organic,/jocuri-cu-pacanele/40-burning-hot-gratis,280,-0.10256410256410256,12,0.7142857142857143,431,-0.14990138067061143
bing / organic,(not set),112,0.17894736842105263,11,-0.35294117647058826,204,0.10270270270270271
google / organic,/jocuri/ruleta-online,56,-0.017543859649122806,10,0,65,-0.09722222222222222
duckduckgo / organic,/jocuri/pacanele-clasice,34,-0.1282051282051282,8,1,38,-0.07317073170731707
duckduckgo / organic,/rotiri-gratuite,2,,8,,3,
google / organic,/jocuri/pacanele-speciale,45,-0.296875,8,0,69,-0.30303030303030304
google / organic,/articole/bonus-fara-depunere,5,-0.7368421052631579,7,-0.5625,6,-0.6842105263157895
google / organic,/jocuri-cu-pacanele/sweet-bonanza-gratis,21,-0.3,7,,40,-0.1836734693877551
yahoo / organic,/jocuri/pacanele-clasice,16,-0.15789473684210525,7,6,17,-0.10526315789473684
google / organic,/bonus-fara-depunere-12xbet-casino,4,3,6,,5,4
google / organic,/jocuri-cu-pacanele/40-burning-hot-bell-link-gratis,58,-0.2054794520547945,6,1,116,-0.11450381679389313
google / organic,/pacanele-netbet-casino,19,1.7142857142857142,6,,20,0.42857142857142855
google / organic,/jocuri-cu-pacanele/20-dazzling-hot-gratis,187,0.1,5,0.25,248,0.10222222222222223
google / organic,/jocuri-cu-pacanele/40-super-hot-bell-link-gratis,94,-0.050505050505050504,5,0.25,146,-0.013513513513513514
google / organic,/jocuri-cu-pacanele/extra-stars-gratis,57,0.1875,5,,81,0.1095890410958904
bing / organic,/,8,0,4,,9,-0.35714285714285715
bing / organic,/fabuloz-princess,1,,4,,1,
bing / organic,/jocuri-cu-pacanele/pacanele-7777-40-super-hot,53,0.20454545454545456,4,3,63,0.16666666666666666
bing / organic,/jocuri-cu-pacanele/pacanele-book-of-ra-deluxe,8,0,4,,11,-0.15384615384615385
google / organic,/jocuri-cu-pacanele/100-super-hot-gratis,92,-0.1559633027522936,4,0,163,-0.1043956043956044
google / organic,/jocuri-cu-pacanele/777-strike-gratis,3,0.5,4,,5,1.5
google / organic,/jocuri-cu-pacanele/fruit-cocktail-2-gratis,4,-0.7333333333333333,4,1,9,-0.5
google / organic,/jocuri-cu-pacanele/joker-poker-gratis,4,-0.42857142857142855,4,3,8,-0.6190476190476191
