First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/bonus-fara-depunere,24566,,75523,,44906,
google / organic,/rotiri-gratuite,9817,,26864,,16017,
google / organic,/,5410,,11463,,8303,
google / organic,/jocuri/pacanele-gratis,29975,,10519,,133922,
bing / organic,/bonus-fara-depunere,1172,,9602,,3484,
google / organic,/rotiri-fara-depunere-online-2025,2771,,8536,,5257,
google / organic,/bonusuri-fara-depunere-online-2025,2694,,8502,,5745,
google / organic,/bonus-fara-rulaj,4119,,7542,,5759,
google / organic,/new-no-deposit,2195,,6103,,4959,
google / organic,/bonus-bun-venit-online-2025,1719,,5471,,3142,
google / organic,/bonusuri-fara-depunere-pmax,1479,,4545,,2665,
bing / organic,/rotiri-gratuite,871,,4179,,2032,
google / organic,(not set),9817,,4120,,53089,
google / organic,/rotiri-fara-depunere-online,1505,,4015,,2670,
google / organic,/bonus-fara-depunere-online,1842,,3866,,3061,
google / organic,/top-cazino-online,1271,,3582,,2135,
google / organic,/cazinouri-noi-licentiate,2025,,3178,,3323,
google / organic,/bonus-fara-depunere-pmax,1279,,2651,,1986,
google / organic,/ghid/bonus-elite-slots,1773,,2046,,2201,
google / organic,/bonus-de-bun-venit,1039,,1788,,1311,
duckduckgo / organic,/bonus-fara-depunere,431,,1701,,978,
google / organic,/bonus-casino-standard/rotiri-gratuite-million,1398,,1247,,1659,
duckduckgo / organic,/rotiri-gratuite,292,,1112,,697,
google / organic,/newyear-2026-ml,302,,1082,,556,
google / organic,/bonus-de-ziua-ta,832,,879,,1053,
bing / organic,/jocuri/pacanele-gratis,3792,,804,,9444,
google / organic,/roata-norocului-casino,249,,754,,411,
qwant.com / organic,/rotiri-gratuite,91,,733,,453,
bing / organic,(not set),1490,,724,,4629,
google / organic,/cazinou/prima-casino,1237,,722,,1714,
google / organic,/cazinou/king-casino,1156,,649,,1338,
google / organic,/bonus-pariuri-fara-depunere,503,,605,,688,
google / organic,/bonusuri-halloween-casino,654,,517,,916,
duckduckgo / organic,(not set),315,,507,,782,
google / organic,/calendar-craciun-bonusuri-casino,618,,499,,793,
google / organic,/craciun-2025-ml,346,,468,,547,
google / organic,/bonus-casino-standard/bonus-12xbet,553,,447,,657,
google / organic,/slot/shining-crown,3537,,386,,7606,
google / organic,/diverse/faci-bani-introducand-coduri,592,,378,,626,
qwant.com / organic,/bonus-fara-depunere,67,,321,,220,
google / organic,/rotiri-fara-depunere-online-2026,134,,302,,163,
google / organic,/cazinouri,332,,292,,364,
google / organic,/cazinou/winbet,556,,289,,640,
google / organic,/casino-vip,404,,278,,440,
bing / organic,/cazinou/12xbet,247,,252,,469,
google / organic,/jocuri/pacanele-gratis/page/2,1774,,252,,6107,
google / organic,/g-oferte-fara-depunere-premium,201,,245,,259,
google / organic,/sloturi,1239,,245,,4163,
google / organic,/newyear-2026-p,163,,237,,248,
google / organic,/bonus-casino-standard/bonusuri-manhattan-casino,966,,231,,1100,
google / organic,/bonus-casino-exclusiv/rotiri-gratuite-winboss,284,,228,,320,
google / organic,/ghid/888-casino-bonus-fara-depunere,301,,223,,360,
yahoo / organic,/bonus-fara-depunere,53,,210,,82,
google / organic,/jocuri/pacanele-cu-speciale,1268,,206,,3478,
yahoo / organic,/rotiri-gratuite,33,,202,,79,
