First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/jocuri/pacanele-clasice,31541,0.038797220301024275,7202,0.025925925925925925,61493,0.013197785540104132
google / organic,/rotiri-gratuite,1064,0.14285714285714285,1897,0.21993569131832796,1525,0.170376055257099
google / organic,/bonus-de-casino,1059,-0.35308491142333537,1802,-0.35039653929343906,1616,-0.33278282411230387
google / organic,/jocuri-pacanele,5387,0.827960637936885,1351,0.743225806451613,10125,0.9759953161592506
google / organic,(not set),3532,0.027939464493597205,860,0.023809523809523808,20838,-0.004918580774557089
google / organic,/,1807,-0.04492600422832981,518,-0.24158125915080528,2688,-0.0025974025974025974
google / organic,/jocuri-cu-pacanele/shinning-crown-pacanele-online,4845,0.07237715803452856,346,0.1972318339100346,8463,-0.011100724468333724
google / organic,/bonusuri-fara-depunere-pm,152,0.216,296,0.1169811320754717,254,0.25742574257425743
google / organic,/producatori-jocuri/egt-gratis,1853,0.4556166535742341,280,0.3397129186602871,3561,0.31693786982248523
bing / organic,/jocuri/pacanele-clasice,2618,0.010420686993438826,279,-0.06060606060606061,3792,-0.010180109631949883
google / organic,/jocuri-cu-pacanele/pacanele-7777-40-super-hot,1559,0.2980849292256453,255,0.036585365853658534,2638,0.34660541092394076
google / organic,/jocuri-cu-pacanele/pacanele-cu-77777-fruit-cocktail,506,0.26184538653366585,230,0.05504587155963303,1568,0.024167210973220117
google / organic,/jocuri-cu-pacanele/pacanele-online-sizzling-hot-deluxe,1364,-0.08762541806020067,226,0.018018018018018018,3541,-0.038033143167617495
google / organic,/jocuri/pacanele-clopotei,534,-0.1834862385321101,196,0.02617801047120419,1469,0.030877192982456142
google / organic,/jocuri-cu-pacanele/pacanele-book-of-ra-deluxe,1136,0.08190476190476191,187,0.4166666666666667,2561,0.06708333333333333
google / organic,/jocuri-cu-pacanele/pacanele-ca-la-aparate-crazy-monkey,234,0.02631578947368421,107,-0.05309734513274336,639,-0.07658959537572255
google / organic,/bonus-de-bun-venit-vipbet-casino,805,2.272357723577236,97,8.7,914,2.5019157088122603
google / organic,/jocuri-cu-pacanele/joc-pacanele-dice-roll,1180,0.12488083889418494,93,-0.07,1856,0.008695652173913044
google / organic,/jocuri-cu-pacanele/burning-hot-pacanele-cu-fructe,1394,0.030303030303030304,82,-0.08888888888888889,2561,-0.0236370568051849
google / organic,/top-cazinouri-online-2026,61,0.35555555555555557,81,0.02531645569620253,76,0.2459016393442623
google / organic,/jocuri/pacanele-coroane,175,0.041666666666666664,69,0.7692307692307693,364,0.05202312138728324
google / organic,/jocuri-cu-pacanele/pacanele-ca-la-aparate-lucky-lady-charm-deluxe,257,0.04897959183673469,62,0.6756756756756757,995,0.23449131513647642
google / organic,/bonus-fara-depunere-zinx-casino,601,2.050761421319797,61,6.625,638,1.926605504587156
bing / organic,(not set),308,0.09219858156028368,56,0.14285714285714285,728,-0.04336399474375821
google / organic,/top-casino-online-romania,64,-0.2967032967032967,46,-0.17857142857142858,77,-0.2222222222222222
google / organic,/jocuri-cu-pacanele/40-burning-hot-gratis,1125,0.13293051359516617,45,-0.2857142857142857,1981,0.08607456140350878
google / organic,/jocuri/pacanele-noi,29,0.9333333333333333,45,6.5,40,0.6666666666666666
google / organic,/articole/bonus-fara-depunere,46,-0.1320754716981132,37,3.111111111111111,47,-0.14545454545454545
bing / organic,/jocuri-pacanele,298,0.04929577464788732,36,-0.32075471698113206,396,0.002531645569620253
google / organic,/jocuri/ruleta-online,224,0.6,35,0.4,309,0.7457627118644068
google / organic,/jocuri/pacanele-speciale,175,0.029411764705882353,31,0.03333333333333333,320,0.01910828025477707
google / organic,/jocuri-cu-pacanele/40-super-hot-bell-link-gratis,353,0.18855218855218855,26,0.18181818181818182,639,0.23121387283236994
duckduckgo / organic,/jocuri/pacanele-clasice,139,0.02962962962962963,25,-0.24242424242424243,177,-0.0056179775280898875
google / organic,/jocuri/pacanele-trifoi,65,-0.1095890410958904,25,0.041666666666666664,221,0.21428571428571427
google / organic,/cele-mai-noi-cazinouri-2026,25,0.5625,23,0.7692307692307693,26,0.625
google / organic,/jocuri-cu-pacanele/20-dazzling-hot-gratis,676,0.07131537242472266,20,0.17647058823529413,1057,0.02027027027027027
google / organic,/jocuri-cu-pacanele/jocuri-cu-pacanele-20-super-hot,545,-0.10655737704918032,19,-0.3870967741935484,947,-0.10744580584354382
google / organic,/jocuri-cu-pacanele/pacanele-gratis-dazzling-hot,548,-0.08361204013377926,19,0.11764705882352941,978,-0.2087378640776699
google / organic,/jocuri/poker-ca-la-aparate,240,0.043478260869565216,19,-0.17391304347826086,367,0.15047021943573669
google / organic,/jocuri-cu-pacanele/40-wild-fire-6-gratis,15,0.15384615384615385,18,17,66,3.4
google / organic,/jocuri-cu-pacanele/5-dazzling-hot-bell-link-gratis,260,-0.051094890510948905,18,-0.28,455,0.020179372197309416
google / organic,/jocuri-cu-pacanele/american-poker-2-gratis,268,-0.13548387096774195,18,0.125,621,-0.02511773940345369
google / organic,/jocuri-cu-pacanele/versailles-gold-egt-gratis,176,0.11392405063291139,18,0.2857142857142857,590,0.07664233576642336
google / organic,/conticazino-bonus-fara-depunere,23,0.7692307692307693,17,3.25,25,0.9230769230769231
bing / organic,/jocuri-cu-pacanele/pacanele-7777-40-super-hot,146,-0.10429447852760736,16,0.7777777777777778,216,-0.02262443438914027
google / organic,/jocuri-cu-pacanele/100-super-hot-gratis,426,0.2276657060518732,16,-0.4838709677419355,815,0.2714508580343214
google / organic,/jocuri-cu-pacanele/garage-gratis,91,0.22972972972972974,15,-0.5,162,-0.2636363636363636
google / organic,/jocuri/pacanele-fructe,111,-0.26490066225165565,15,-0.4230769230769231,315,-0.2905405405405405
bing / organic,/bonus-de-casino,6,0.5,14,0.07692307692307693,11,1.2
google / organic,/jocuri-cu-pacanele/777-strike-gratis,7,-0.5,14,1.3333333333333333,19,-0.17391304347826086
google / organic,/jocuri-cu-pacanele/20-burning-hot-gratis,404,-0.021791767554479417,13,-0.48,782,-0.02493765586034913
google / organic,/888-casino-bonus-fara-depunere,11,-0.5769230769230769,12,0.2,17,-0.37037037037037035
google / organic,/jocuri-cu-pacanele/fruit-cocktail-2-gratis,34,0,12,0.7142857142857143,64,-0.15789473684210525
bing / organic,/jocuri-cu-pacanele/shinning-crown-pacanele-online,173,0.01764705882352941,11,1.2,224,-0.017543859649122806
google / organic,/jocuri-cu-pacanele/100-burning-hot-gratis,308,0.20784313725490197,11,-0.15384615384615385,466,0.19487179487179487
google / organic,/jocuri-cu-pacanele/20-super-hot-bell-link-gratis,174,0.4146341463414634,11,0,278,-0.007142857142857143
google / organic,/jocuri-cu-pacanele/extra-stars-gratis,193,0.04891304347826087,11,-0.47619047619047616,324,0.09090909090909091
yahoo / organic,/jocuri/pacanele-clasice,67,-0.0821917808219178,11,1.75,74,-0.11904761904761904
google / organic,/jocuri-cu-pacanele/40-burning-hot-6-reels-gratis,133,0.05555555555555555,10,1,228,-0.008695652173913044
google / organic,/jocuri-cu-pacanele/40-burning-hot-bell-link-gratis,247,0.19902912621359223,10,-0.09090909090909091,503,0.2575
google / organic,/jocuri-cu-pacanele/40-shining-crown-bell-link-gratis,268,0.2946859903381642,10,0.1111111111111111,524,0.27184466019417475
google / organic,/jocuri-cu-pacanele/rich-world-gratis,2,1,10,,2,1
google / organic,/pacanele-netbet-casino,48,15,10,,67,21.333333333333332
google / organic,/bonus-fara-depunere-12xbet-casino,10,-0.4444444444444444,9,3.5,11,-0.3888888888888889
google / organic,/jocuri-cu-pacanele/book-of-ra-mystic-fortunes-gratis,33,0.5,9,3.5,144,1.88
google / organic,/jocuri-cu-pacanele/joker-poker-gratis,37,-0.38333333333333336,9,2,78,0.04
google / organic,/jocuri-cu-pacanele/lucky-pharaoh-gratis,37,0.05714285714285714,9,0.125,41,-0.046511627906976744
google / organic,/jocuri-cu-pacanele/more-dice-roll-gratis,58,-0.30120481927710846,9,0.125,69,-0.3611111111111111
google / organic,/jocuri-cu-pacanele/shining-crown-bell-link-gratis,200,0.015228426395939087,9,-0.1,312,-0.09302325581395349
google / organic,/jocuri/pacanele-dublaje,64,0.20754716981132076,9,-0.3076923076923077,70,-0.07894736842105263
duckduckgo / organic,/bonus-de-casino,5,1.5,8,7,6,2
duckduckgo / organic,/rotiri-gratuite,2,0,8,,3,0.5
google / organic,/jocuri-cu-pacanele/power-stars-gratis,71,0.3148148148148148,8,-0.1111111111111111,166,0.1773049645390071
google / organic,/jocuri-cu-pacanele/sweet-bonanza-gratis,91,-0.07142857142857142,8,1,181,-0.19911504424778761
bing / organic,/,36,0,7,0,60,-0.14285714285714285
google / organic,/jocuri-cu-pacanele/fishin-frenzy-megaways-gratis,12,-0.07692307692307693,7,1.3333333333333333,13,-0.07142857142857142
google / organic,/jocuri-cu-pacanele/game-of-luck-gratis,10,2.3333333333333335,7,,13,3.3333333333333335
google / organic,/jocuri-cu-pacanele/resident-gratis,21,0.5,7,,59,1.2692307692307692
bing / organic,/jocuri-cu-pacanele/pacanele-book-of-ra-deluxe,29,-0.2926829268292683,6,-0.45454545454545453,54,-0.2602739726027397
duckduckgo / organic,/jocuri/pacanele-clopotei,2,0,6,2,17,0.8888888888888888
google / organic,/bonus-fara-depunere-wacko,19,-0.42424242424242425,6,-0.4,20,-0.4117647058823529
google / organic,/bonus-poker-fortuna,9,2,6,2,10,2.3333333333333335
google / organic,/interzis-minorilor,1,0,6,,1,0
google / organic,/jocuri-cu-pacanele/eye-of-horus-megaways-gratis,34,0.8888888888888888,6,1,44,1
google / organic,/jocuri-cu-pacanele/lord-of-the-ocean-gratis,27,-0.18181818181818182,6,5,114,-0.11627906976744186
google / organic,/jocuri-cu-pacanele/ultra-hot-deluxe-gratis,13,-0.23529411764705882,6,2,25,-0.358974358974359
google / organic,/jocuri/pacanele-clasice/page/2,26,,6,,30,
bing / organic,/bonus-aniversar-joker-casino,11,10,5,,11,4.5
bing / organic,/jocuri-cu-pacanele/pacanele-cu-77777-fruit-cocktail,10,1.5,5,,17,0.21428571428571427
bing / organic,/jocuri/pacanele-clopotei,6,1,5,-0.16666666666666666,74,1.1764705882352942
bing / organic,/jocuri/poker-ca-la-aparate,17,0.4166666666666667,5,,59,0.9032258064516129
google / organic,/cazinouri-aircash,17,0.4166666666666667,5,,17,0.21428571428571427
google / organic,/jocuri-cu-pacanele/10-burning-heart-gratis,85,0.1038961038961039,5,0.25,137,0.3300970873786408
google / organic,/jocuri-cu-pacanele/age-of-troy-gratis,39,0.3,5,,65,0.27450980392156865
google / organic,/jocuri-cu-pacanele/more-lucky-and-wild-gratis,4,0,5,,7,0.75
google / organic,/jocuri-cu-pacanele/ultimate-hot-gratis,92,-0.2698412698412698,5,0.6666666666666666,134,-0.23863636363636365
google / organic,/loto-cehia,4,-0.42857142857142855,5,,4,-0.42857142857142855
qwant.com / organic,/jocuri/pacanele-clasice,30,-0.16666666666666666,5,-0.2857142857142857,66,-0.029411764705882353
bing / organic,/fabuloz-princess,1,,4,,1,
bing / organic,/jocuri-cu-pacanele/50-extreme-hot-gratis,2,0,4,1,7,0.75
google / organic,/betmen-casino-pareri,4,,4,,5,
google / organic,/bonus-fara-depunere-pacanele-casino,4,-0.2,4,,4,-0.2
google / organic,/bonus-fara-rulaj,15,-0.0625,4,0,15,-0.16666666666666666
google / organic,/jocuri-cu-pacanele/20-joker-reels-gratis,28,0.12,4,1,55,0.4473684210526316
google / organic,/jocuri-cu-pacanele/20-power-hot-gratis,14,-0.17647058823529413,4,3,47,1.4736842105263157
google / organic,/jocuri-cu-pacanele/30-summer-bliss-gratis,4,0,4,,5,0.25
google / organic,/jocuri-cu-pacanele/40-crown-hot-clover-chance-gratis,11,0.2222222222222222,4,,31,1.2142857142857142
google / organic,/jocuri-cu-pacanele/big-bass-baboiu-din-delta-gratis,60,-0.16666666666666666,4,1,83,-0.056818181818181816
google / organic,/jocuri-cu-pacanele/big-bass-bonanza-gratis,49,-0.20967741935483872,4,0,66,-0.20481927710843373
google / organic,/jocuri-cu-pacanele/dolphins-pearl-deluxe-gratis,30,0,4,0.3333333333333333,128,-0.09219858156028368
google / organic,/jocuri-cu-pacanele/plenty-on-twenty-gratis,27,-0.4,4,-0.2,57,-0.24
google / organic,/jocuri-cu-pacanele/roaring-forties-gratis,83,-0.08791208791208792,4,-0.3333333333333333,119,-0.05555555555555555
google / organic,/jocuri-cu-pacanele/virtual-roulette-gratis,10,0.42857142857142855,4,1,13,0.625
google / organic,/jocuri/blackjack-gratis-online,60,0.1320754716981132,4,-0.5555555555555556,63,0.10526315789473684
google / organic,/jocuri/pacanele-diamante,5,-0.16666666666666666,4,1,8,0.14285714285714285
google / organic,/jocuri/pacanele-pesti,9,-0.3076923076923077,4,-0.6,25,0.3888888888888889
google / organic,/loto-letonia,2,1,4,,3,2
google / organic,/recenzie/winboss-casino,1,0,4,-0.2,1,0
google / organic,/tag/500-rotiri-gratuite,7,,4,,8,
