First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/top-oferte-cazinouri-romania-2026,10,-0.6296296296296297,4,-0.8461538461538461,10,-0.6296296296296297
google / organic,/viva-bet,2,,4,,2,
google / organic,/betmen-casino,6,0,3,2,7,0.16666666666666666
google / organic,/blog/cazinouri-straine,21,-0.125,3,-0.5,24,-0.07692307692307693
google / organic,/blog/cod-bonus-superbet,17,0.5454545454545454,3,2,18,0.5
google / organic,/blog/conticazino-bonus-fara-depunere,6,1,3,,7,1.3333333333333333
google / organic,/blog/fortuna-bonus-bun-venit,2,-0.6,3,0,2,-0.6
google / organic,/blog/fortuna-bonus-fara-depunere,3,-0.25,3,2,3,-0.4
google / organic,/blog/gets-bet-bonus-fara-depunere,7,-0.2222222222222222,3,-0.5,7,-0.36363636363636365
google / organic,/blog/joker-casino-bonus-fara-depunere,12,1.4,3,2,13,1.6
google / organic,/blog/luck-mobil,4,3,3,,4,3
google / organic,/blog/million-casino-bonus-bun-venit,2,1,3,,2,1
google / organic,/blog/prima-casino-bonus-fara-depunere,12,-0.07692307692307693,3,0,12,-0.07692307692307693
google / organic,/euromillions,4,3,3,2,6,5
google / organic,/favbet-casino,3,0.5,3,,3,0.5
google / organic,/fortuna-casino,1,,3,,2,
google / organic,/redsevens-casino,1,-0.6666666666666666,3,,1,-0.6666666666666666
google / organic,/t/300-rotiri-gratuite,8,-0.4666666666666667,3,-0.7272727272727273,8,-0.5
google / organic,/t/400-rotiri-gratuite,4,0,3,0,4,-0.3333333333333333
google / organic,/t/50-rotiri-gratuite,5,-0.16666666666666666,3,,5,-0.2857142857142857
google / organic,/t/500-rotiri-gratuite,11,0.2222222222222222,3,-0.25,11,0
google / organic,/victory-bet,7,0.75,3,0.5,13,1.6
bing / organic,/blog/fortuna-bonus-fara-depunere,2,1,2,1,4,3
bing / organic,/cazinouri-noi-cu-depunere,1,0,2,,1,0
google / organic,/blog/bonus-aniversar-betano,10,-0.3333333333333333,2,1,12,-0.25
google / organic,/blog/bonus-fara-depunere-favbet,3,2,2,,4,3
google / organic,/blog/bonus-ziua-ta-toto-gaming,4,,2,,4,
google / organic,/blog/card-revolut-casino,6,-0.4,2,-0.3333333333333333,6,-0.4
google / organic,/blog/cazinouri-paypal,4,-0.2,2,-0.3333333333333333,4,-0.2
google / organic,/blog/fortuna-poker,3,2,2,,3,2
google / organic,/blog/inregistrare-prima-casino,3,-0.5,2,-0.7142857142857143,3,-0.625
google / organic,/blog/lady-casino-bonus-fara-depunere,8,-0.2,2,-0.6,8,-0.2
google / organic,/blog/million-casino-bonus-fara-depunere,1,,2,,1,
google / organic,/blog/royal-slots-bonus-fara-depunere,4,1,2,1,5,0.6666666666666666
google / organic,/blog/toto-gaming-bonus-fara-depunere,4,1,2,0,4,1
google / organic,/conti-cazino,4,1,2,1,4,1
google / organic,/joc-de-noroc-responsabil,2,,2,,2,
google / organic,/jocuri/pacanele-gratis,19,-0.2962962962962963,2,-0.6666666666666666,27,-0.2702702702702703
google / organic,/lady-casino,10,,2,,10,
google / organic,/lucky-seven-casino,2,0,2,,2,0
google / organic,/princess-casino,4,-0.5,2,0,4,-0.5
google / organic,/seven-casino,5,,2,,5,
qwant.com / organic,(not set),1,,2,,2,
